DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/13/2025,18,4,7RNCHSLR_ALL,RN,14.52,N
04/13/2025,18,4,ABINDUST_RN,RN,3.54,N
04/13/2025,18,4,ADL_RN,RN,24.77,N
04/13/2025,18,4,AEEC,RN,-7.1,N
04/13/2025,18,4,AE_RN,RN,7.83,N
04/13/2025,18,4,AGUAYO_UNIT1,RN,0.98,N
04/13/2025,18,4,AJAXWIND_RN,RN,-14.76,N
04/13/2025,18,4,ALGOD_ALL_RN,RN,-3.38,N
04/13/2025,18,4,ALP_BESS_RN,RN,0.31,N
04/13/2025,18,4,ALVIN_RN,RN,31.08,N
04/13/2025,18,4,AMADEUS_ALL,RN,-0.75,N
04/13/2025,18,4,AMISTAD_ALL,RN,-0.76,N
04/13/2025,18,4,AMOCOOIL_CC1,LCCRN,28.22,N
04/13/2025,18,4,AMOCOOIL_CC2,LCCRN,28.22,N
04/13/2025,18,4,AMOCO_PUN1,PUN,28.22,N
04/13/2025,18,4,AMOCO_PUN2,PUN,28.22,N
04/13/2025,18,4,AMO_AMOCO_1,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_2,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_5,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_G1,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_G2,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_G3,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_S1,PCCRN,28.22,N
04/13/2025,18,4,AMO_AMOCO_S2,PCCRN,28.22,N
04/13/2025,18,4,ANACACHO_ANA,RN,-2.27,N
04/13/2025,18,4,ANCHOR_ALL,RN,-0.16,N
04/13/2025,18,4,ANDMDSLR_ALL,RN,-1.37,N
04/13/2025,18,4,ANEM_ESS_RN,RN,-21.56,N
04/13/2025,18,4,ANG_ALL,RN,-0.32,N
04/13/2025,18,4,ANOL_ESS_RN,RN,21.88,N
04/13/2025,18,4,ANSON1_ALL,RN,-0.1,N
04/13/2025,18,4,ANTL_ESS_ES1,RN,-2.06,N
04/13/2025,18,4,APPALOSA_ALL,RN,-0.56,N
04/13/2025,18,4,AQUI_ALL,RN,-21.56,N
04/13/2025,18,4,ARAGORN_RN,RN,0.75,N
04/13/2025,18,4,ASCK_SLR_RN,RN,-21.56,N
04/13/2025,18,4,ASTRA_RN,RN,-35.11,N
04/13/2025,18,4,ATK_ATKINSG7,RN,19.04,N
04/13/2025,18,4,AURO_SLR_RN,RN,6.91,N
04/13/2025,18,4,AUSTPL_ALL,RN,22.52,N
04/13/2025,18,4,AVIAT_ALL,RN,0.61,N
04/13/2025,18,4,AVIL_ESS_RN,RN,0.39,N
04/13/2025,18,4,AZSP_SLR_RN,RN,23.7,N
04/13/2025,18,4,AZURE_RN,RN,2.48,N
04/13/2025,18,4,AZ_ALL,RN,25.36,N
04/13/2025,18,4,BAC_RN_ALL,RN,27.69,N
04/13/2025,18,4,BAFFIN_ALL,RN,-18.74,N
04/13/2025,18,4,BAIRDWND_ALL,RN,-0.16,N
04/13/2025,18,4,BAKE_RN_ALL,RN,9.78,N
04/13/2025,18,4,BARROW_ALL,RN,1.15,N
04/13/2025,18,4,BASTEN_CC1,LCCRN,17.94,N
04/13/2025,18,4,BASTEN_CCU,PCCRN,17.94,N
04/13/2025,18,4,BATCAVE_RN,RN,-140.78,N
04/13/2025,18,4,BAYC_BESS_RN,RN,4.78,N
04/13/2025,18,4,BBREEZE_1_2,RN,-31.19,N
04/13/2025,18,4,BCATWD_WD_1,RN,8.2,N
