DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/13/2025,7,3,7RNCHSLR_ALL,RN,14.01,N
04/13/2025,7,3,ABINDUST_RN,RN,4.51,N
04/13/2025,7,3,ADL_RN,RN,15.05,N
04/13/2025,7,3,AEEC,RN,-19.44,N
04/13/2025,7,3,AE_RN,RN,14.74,N
04/13/2025,7,3,AGUAYO_UNIT1,RN,7.64,N
04/13/2025,7,3,AJAXWIND_RN,RN,-15.18,N
04/13/2025,7,3,ALGOD_ALL_RN,RN,10.35,N
04/13/2025,7,3,ALP_BESS_RN,RN,79.44,N
04/13/2025,7,3,ALVIN_RN,RN,14.9,N
04/13/2025,7,3,AMADEUS_ALL,RN,-6.68,N
04/13/2025,7,3,AMISTAD_ALL,RN,36.24,N
04/13/2025,7,3,AMOCOOIL_CC1,LCCRN,14.95,N
04/13/2025,7,3,AMOCOOIL_CC2,LCCRN,14.95,N
04/13/2025,7,3,AMOCO_PUN1,PUN,14.95,N
04/13/2025,7,3,AMOCO_PUN2,PUN,14.95,N
04/13/2025,7,3,AMO_AMOCO_1,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_2,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_5,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_G1,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_G2,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_G3,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_S1,PCCRN,14.95,N
04/13/2025,7,3,AMO_AMOCO_S2,PCCRN,14.95,N
04/13/2025,7,3,ANACACHO_ANA,RN,28.43,N
04/13/2025,7,3,ANCHOR_ALL,RN,-3.8,N
04/13/2025,7,3,ANDMDSLR_ALL,RN,-7.09,N
04/13/2025,7,3,ANEM_ESS_RN,RN,-21.92,N
04/13/2025,7,3,ANG_ALL,RN,5.32,N
04/13/2025,7,3,ANOL_ESS_RN,RN,23.48,N
04/13/2025,7,3,ANSON1_ALL,RN,-5.21,N
04/13/2025,7,3,ANTL_ESS_ES1,RN,-25,N
04/13/2025,7,3,APPALOSA_ALL,RN,19.27,N
04/13/2025,7,3,AQUI_ALL,RN,13.75,N
04/13/2025,7,3,ARAGORN_RN,RN,27.33,N
04/13/2025,7,3,ASCK_SLR_RN,RN,13.75,N
04/13/2025,7,3,ASTRA_RN,RN,-17.23,N
04/13/2025,7,3,ATK_ATKINSG7,RN,15.47,N
04/13/2025,7,3,AURO_SLR_RN,RN,14.05,N
04/13/2025,7,3,AUSTPL_ALL,RN,13.59,N
04/13/2025,7,3,AVIAT_ALL,RN,3.52,N
04/13/2025,7,3,AVIL_ESS_RN,RN,25.12,N
04/13/2025,7,3,AZSP_SLR_RN,RN,21.07,N
04/13/2025,7,3,AZURE_RN,RN,-4.5,N
04/13/2025,7,3,AZ_ALL,RN,15.03,N
04/13/2025,7,3,BAC_RN_ALL,RN,14.95,N
04/13/2025,7,3,BAFFIN_ALL,RN,4.97,N
04/13/2025,7,3,BAIRDWND_ALL,RN,-3.8,N
04/13/2025,7,3,BAKE_RN_ALL,RN,15.54,N
04/13/2025,7,3,BARROW_ALL,RN,31.67,N
04/13/2025,7,3,BASTEN_CC1,LCCRN,13.82,N
04/13/2025,7,3,BASTEN_CCU,PCCRN,13.82,N
04/13/2025,7,3,BATCAVE_RN,RN,11.26,N
04/13/2025,7,3,BAYC_BESS_RN,RN,14.15,N
04/13/2025,7,3,BBREEZE_1_2,RN,0.75,N
04/13/2025,7,3,BCATWD_WD_1,RN,-11.72,N
04/13/2025,7,3,BCH_RN,RN,14.74,N
04/13/2025,7,3,BCK_RN,RN,14.71,N
04/13/2025,7,3,BCNV_RN,RN,14.9,N
04/13/2025,7,3,BELM_SLR_RN,RN,13.41,N
04/13/2025,7,3,BEXAR_ES_RN,RN,15.06,N
04/13/2025,7,3,BIGSTAR_ALL,RN,13.87,N
04/13/2025,7,3,BKSL_RN,RN,-14.08,N
04/13/2025,7,3,BLACKJAK_RN,RN,10.69,N
04/13/2025,7,3,BLSMT1_5_A_6,RN,-17.23,N
04/13/2025,7,3,BLUEJAY_RN,RN,15.6,N
04/13/2025,7,3,BLVN_RN,RN,13.45,N
04/13/2025,7,3,BOARDCRK_ALL,RN,16.6,N
04/13/2025,7,3,BOCO_ESS_RN,RN,-30.07,N
04/13/2025,7,3,BOOTLEG_UN1,RN,23.44,N
04/13/2025,7,3,BORDAS_345,RN,-32.77,N
04/13/2025,7,3,BOSQUESW_CC1,LCCRN,13.41,N
04/13/2025,7,3,BOSQUESW_CC2,LCCRN,13.49,N
04/13/2025,7,3,BOSQ_BSQSU_5,PCCRN,13.49,N
04/13/2025,7,3,BOSQ_BSQS_12,PCCRN,13.49,N
04/13/2025,7,3,BOSQ_BSQS_34,PCCRN,13.41,N
04/13/2025,7,3,BRANDON_RN,RN,-21.39,N
04/13/2025,7,3,BRAUNIG_CC1,LCCRN,14.35,N
04/13/2025,7,3,BRAUNIG_VHB1,RN,14.84,N
04/13/2025,7,3,BRAUNIG_VHB2,RN,14.84,N
04/13/2025,7,3,BRAUNIG_VHB3,RN,14.84,N
04/13/2025,7,3,BRAZ_WND_ALL,RN,2.29,N
04/13/2025,7,3,BRA_AVR1_CT2,PCCRN,14.35,N
04/13/2025,7,3,BRA_AVR_CST1,PCCRN,14.35,N
04/13/2025,7,3,BRHEIGHT_RN,RN,14.95,N
04/13/2025,7,3,BRIGHTSD_RN,RN,17.65,N
04/13/2025,7,3,BRIGHTSD_U1,RN,17.48,N
04/13/2025,7,3,BRISCOE_WIND,RN,-16.66,N
04/13/2025,7,3,BRPANGLE_RN,RN,14.65,N
04/13/2025,7,3,BRPMAGNO_RN,RN,14.94,N
04/13/2025,7,3,BRP_BRAZ_RN,RN,14.66,N
04/13/2025,7,3,BRP_DIKN_RN,RN,14.94,N
04/13/2025,7,3,BRP_LOOP_RN,RN,13.45,N
04/13/2025,7,3,BRP_LOP1_RN,RN,-3.17,N
04/13/2025,7,3,BRP_PBL1_RN,RN,29.87,N
04/13/2025,7,3,BRP_PBL2_RN,RN,29.87,N
04/13/2025,7,3,BRP_RN_UNIT1,RN,14.51,N
04/13/2025,7,3,BRP_SWNY_RN,RN,14.67,N
04/13/2025,7,3,BRP_ZPT1_RN,RN,-4.09,N
04/13/2025,7,3,BRP_ZPT2_RN,RN,-4.09,N
04/13/2025,7,3,BRTSW_BCW1,RN,-5.6,N
04/13/2025,7,3,BR_ARROW_ALL,RN,19.1,N
04/13/2025,7,3,BR_VHB6CT5_6,RN,14.78,N
04/13/2025,7,3,BR_VHB6CT7_8,RN,14.78,N
04/13/2025,7,3,BSS_U1,RN,14.67,N
04/13/2025,7,3,BTE_BTE_G1,PCCRN,15.04,N
04/13/2025,7,3,BTE_BTE_G2,PCCRN,15.04,N
04/13/2025,7,3,BTE_BTE_G3,PCCRN,15.04,N
04/13/2025,7,3,BTE_BTE_G4,PCCRN,15.04,N
04/13/2025,7,3,BTE_CC1,LCCRN,15.04,N
04/13/2025,7,3,BTE_PUN1,PUN,15.04,N
04/13/2025,7,3,BTE_PUN2,PUN,15.04,N
04/13/2025,7,3,BTM_ALL,RN,14.85,N
04/13/2025,7,3,BUCHAN_ALL,RN,12.16,N
04/13/2025,7,3,BUCKTHRN_RN,RN,7.34,N
04/13/2025,7,3,BUFF_GAP_ALL,RN,2.47,N
04/13/2025,7,3,BULLCRK_1_2,RN,-4.15,N
04/13/2025,7,3,BVE_CC1,LCCRN,14.87,N
04/13/2025,7,3,BVE_UNIT1,PCCRN,14.87,N
04/13/2025,7,3,BVE_UNIT2,PCCRN,14.87,N
04/13/2025,7,3,BVE_UNIT3,PCCRN,14.87,N
04/13/2025,7,3,BYRDR_ES_ALL,RN,14.67,N
04/13/2025,7,3,BYU_BYU_1,PCCRN,14.99,N
04/13/2025,7,3,BYU_BYU_12,PCCRN,14.99,N
04/13/2025,7,3,BYU_BYU_34,PCCRN,14.99,N
04/13/2025,7,3,BYU_CC1,LCCRN,14.99,N
04/13/2025,7,3,BYU_G4_RN,PCCRN,14.99,N
04/13/2025,7,3,BYU_PUN1,PUN,14.99,N
04/13/2025,7,3,BYU_PUN2,PUN,14.99,N
