DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/14/2025,22,3,7RNCHSLR_ALL,RN,49.38,N
04/14/2025,22,3,ABINDUST_RN,RN,49.57,N
04/14/2025,22,3,ADL_RN,RN,49.35,N
04/14/2025,22,3,AEEC,RN,49.6,N
04/14/2025,22,3,AE_RN,RN,49.02,N
04/14/2025,22,3,AGUAYO_UNIT1,RN,49.88,N
04/14/2025,22,3,AJAXWIND_RN,RN,49.65,N
04/14/2025,22,3,ALGOD_ALL_RN,RN,35.5,N
04/14/2025,22,3,ALP_BESS_RN,RN,49.51,N
04/14/2025,22,3,ALVIN_RN,RN,49.23,N
04/14/2025,22,3,AMADEUS_ALL,RN,49.6,N
04/14/2025,22,3,AMISTAD_ALL,RN,57.24,N
04/14/2025,22,3,AMOCOOIL_CC1,LCCRN,49.26,N
04/14/2025,22,3,AMOCOOIL_CC2,LCCRN,49.26,N
04/14/2025,22,3,AMOCO_PUN1,PUN,49.26,N
04/14/2025,22,3,AMOCO_PUN2,PUN,49.26,N
04/14/2025,22,3,AMO_AMOCO_1,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_2,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_5,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_G1,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_G2,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_G3,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_S1,PCCRN,49.26,N
04/14/2025,22,3,AMO_AMOCO_S2,PCCRN,49.26,N
04/14/2025,22,3,ANACACHO_ANA,RN,58.23,N
04/14/2025,22,3,ANCHOR_ALL,RN,49.65,N
04/14/2025,22,3,ANDMDSLR_ALL,RN,49.6,N
04/14/2025,22,3,ANEM_ESS_RN,RN,-14.42,N
04/14/2025,22,3,ANG_ALL,RN,49.32,N
04/14/2025,22,3,ANOL_ESS_RN,RN,49.74,N
04/14/2025,22,3,ANSON1_ALL,RN,49.62,N
04/14/2025,22,3,ANTL_ESS_ES1,RN,55.04,N
04/14/2025,22,3,APPALOSA_ALL,RN,49.78,N
04/14/2025,22,3,AQUI_ALL,RN,49.89,N
04/14/2025,22,3,ARAGORN_RN,RN,49.4,N
04/14/2025,22,3,ASCK_SLR_RN,RN,49.89,N
04/14/2025,22,3,ASTRA_RN,RN,49.61,N
04/14/2025,22,3,ATK_ATKINSG7,RN,49.69,N
04/14/2025,22,3,AURO_SLR_RN,RN,50.08,N
04/14/2025,22,3,AUSTPL_ALL,RN,51.49,N
04/14/2025,22,3,AVIAT_ALL,RN,49.39,N
04/14/2025,22,3,AVIL_ESS_RN,RN,49.48,N
04/14/2025,22,3,AZSP_SLR_RN,RN,49.74,N
04/14/2025,22,3,AZURE_RN,RN,49.64,N
04/14/2025,22,3,AZ_ALL,RN,49.33,N
04/14/2025,22,3,BAC_RN_ALL,RN,49.27,N
04/14/2025,22,3,BAFFIN_ALL,RN,4.88,N
04/14/2025,22,3,BAIRDWND_ALL,RN,49.65,N
04/14/2025,22,3,BAKE_RN_ALL,RN,49.73,N
04/14/2025,22,3,BARROW_ALL,RN,49.45,N
04/14/2025,22,3,BASTEN_CC1,LCCRN,52.3,N
