DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/15/2025,13,2,7RNCHSLR_ALL,RN,30.32,N
04/15/2025,13,2,ABINDUST_RN,RN,18.34,N
04/15/2025,13,2,ADL_RN,RN,31.14,N
04/15/2025,13,2,AEEC,RN,18.39,N
04/15/2025,13,2,AE_RN,RN,30.8,N
04/15/2025,13,2,AGUAYO_UNIT1,RN,10.15,N
04/15/2025,13,2,AJAXWIND_RN,RN,21.89,N
04/15/2025,13,2,ALGOD_ALL_RN,RN,28.77,N
04/15/2025,13,2,ALP_BESS_RN,RN,16.57,N
04/15/2025,13,2,ALVIN_RN,RN,30.94,N
04/15/2025,13,2,AMADEUS_ALL,RN,14.48,N
04/15/2025,13,2,AMISTAD_ALL,RN,-3.92,N
04/15/2025,13,2,AMOCOOIL_CC1,LCCRN,31,N
04/15/2025,13,2,AMOCOOIL_CC2,LCCRN,31,N
04/15/2025,13,2,AMOCO_PUN1,PUN,31,N
04/15/2025,13,2,AMOCO_PUN2,PUN,31,N
04/15/2025,13,2,AMO_AMOCO_1,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_2,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_5,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_G1,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_G2,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_G3,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_S1,PCCRN,31,N
04/15/2025,13,2,AMO_AMOCO_S2,PCCRN,31,N
04/15/2025,13,2,ANACACHO_ANA,RN,27.68,N
04/15/2025,13,2,ANCHOR_ALL,RN,6.8,N
04/15/2025,13,2,ANDMDSLR_ALL,RN,14.9,N
04/15/2025,13,2,ANEM_ESS_RN,RN,28.91,N
04/15/2025,13,2,ANG_ALL,RN,17.51,N
04/15/2025,13,2,ANOL_ESS_RN,RN,34,N
04/15/2025,13,2,ANSON1_ALL,RN,9.57,N
04/15/2025,13,2,ANTL_ESS_ES1,RN,2.06,N
04/15/2025,13,2,APPALOSA_ALL,RN,16.01,N
04/15/2025,13,2,AQUI_ALL,RN,-38.25,N
04/15/2025,13,2,ARAGORN_RN,RN,18.34,N
04/15/2025,13,2,ASCK_SLR_RN,RN,-38.25,N
04/15/2025,13,2,ASTRA_RN,RN,19.24,N
04/15/2025,13,2,ATK_ATKINSG7,RN,28.46,N
04/15/2025,13,2,AURO_SLR_RN,RN,-2.16,N
04/15/2025,13,2,AUSTPL_ALL,RN,28.18,N
04/15/2025,13,2,AVIAT_ALL,RN,17.05,N
04/15/2025,13,2,AVIL_ESS_RN,RN,15.96,N
04/15/2025,13,2,AZSP_SLR_RN,RN,39.54,N
04/15/2025,13,2,AZURE_RN,RN,12.35,N
04/15/2025,13,2,AZ_ALL,RN,31.11,N
04/15/2025,13,2,BAC_RN_ALL,RN,31.01,N
04/15/2025,13,2,BAFFIN_ALL,RN,28.86,N
04/15/2025,13,2,BAIRDWND_ALL,RN,6.8,N
04/15/2025,13,2,BAKE_RN_ALL,RN,9.16,N
04/15/2025,13,2,BARROW_ALL,RN,17.25,N
04/15/2025,13,2,BASTEN_CC1,LCCRN,30.96,N
04/15/2025,13,2,BASTEN_CCU,PCCRN,30.96,N
04/15/2025,13,2,BATCAVE_RN,RN,22.18,N
04/15/2025,13,2,BAYC_BESS_RN,RN,30.17,N
04/15/2025,13,2,BBREEZE_1_2,RN,28.89,N
04/15/2025,13,2,BCATWD_WD_1,RN,21.36,N
04/15/2025,13,2,BCH_RN,RN,30.8,N
04/15/2025,13,2,BCK_RN,RN,30.79,N
04/15/2025,13,2,BCNV_RN,RN,30.94,N
04/15/2025,13,2,BELM_SLR_RN,RN,-19.96,N
04/15/2025,13,2,BEXAR_ES_RN,RN,27.71,N
04/15/2025,13,2,BIGSTAR_ALL,RN,29.93,N
04/15/2025,13,2,BKSL_RN,RN,18.32,N
04/15/2025,13,2,BLACKJAK_RN,RN,28.82,N
04/15/2025,13,2,BLSMT1_5_A_6,RN,21.06,N
04/15/2025,13,2,BLUEJAY_RN,RN,30.81,N
04/15/2025,13,2,BLVN_RN,RN,-21.53,N
04/15/2025,13,2,BOARDCRK_ALL,RN,34.59,N
04/15/2025,13,2,BOCO_ESS_RN,RN,16.29,N
04/15/2025,13,2,BOOTLEG_UN1,RN,17.36,N
04/15/2025,13,2,BORDAS_345,RN,28.95,N
04/15/2025,13,2,BOSQUESW_CC1,LCCRN,-13.06,N
04/15/2025,13,2,BOSQUESW_CC2,LCCRN,-20.3,N
04/15/2025,13,2,BOSQ_BSQSU_5,PCCRN,-20.3,N
04/15/2025,13,2,BOSQ_BSQS_12,PCCRN,-20.3,N
04/15/2025,13,2,BOSQ_BSQS_34,PCCRN,-13.06,N
04/15/2025,13,2,BRANDON_RN,RN,18.01,N
04/15/2025,13,2,BRAUNIG_CC1,LCCRN,27.68,N
04/15/2025,13,2,BRAUNIG_VHB1,RN,27.84,N
04/15/2025,13,2,BRAUNIG_VHB2,RN,27.84,N
04/15/2025,13,2,BRAUNIG_VHB3,RN,27.84,N
04/15/2025,13,2,BRAZ_WND_ALL,RN,16.26,N
04/15/2025,13,2,BRA_AVR1_CT2,PCCRN,27.68,N
04/15/2025,13,2,BRA_AVR_CST1,PCCRN,27.68,N
04/15/2025,13,2,BRHEIGHT_RN,RN,31,N
04/15/2025,13,2,BRIGHTSD_RN,RN,29.11,N
04/15/2025,13,2,BRIGHTSD_U1,RN,29.07,N
04/15/2025,13,2,BRISCOE_WIND,RN,19.35,N
04/15/2025,13,2,BRPANGLE_RN,RN,30.71,N
04/15/2025,13,2,BRPMAGNO_RN,RN,30.99,N
04/15/2025,13,2,BRP_BRAZ_RN,RN,30.72,N
04/15/2025,13,2,BRP_DIKN_RN,RN,30.99,N
04/15/2025,13,2,BRP_LOOP_RN,RN,29.25,N
04/15/2025,13,2,BRP_LOP1_RN,RN,29.14,N
04/15/2025,13,2,BRP_PBL1_RN,RN,38.81,N
04/15/2025,13,2,BRP_PBL2_RN,RN,38.81,N
04/15/2025,13,2,BRP_RN_UNIT1,RN,27.21,N
04/15/2025,13,2,BRP_SWNY_RN,RN,30.72,N
04/15/2025,13,2,BRP_ZPT1_RN,RN,29.23,N
04/15/2025,13,2,BRP_ZPT2_RN,RN,29.23,N
04/15/2025,13,2,BRTSW_BCW1,RN,21.13,N
04/15/2025,13,2,BR_ARROW_ALL,RN,-14.64,N
04/15/2025,13,2,BR_VHB6CT5_6,RN,27.84,N
04/15/2025,13,2,BR_VHB6CT7_8,RN,27.84,N
04/15/2025,13,2,BSS_U1,RN,30.73,N
04/15/2025,13,2,BTE_BTE_G1,PCCRN,31.12,N
04/15/2025,13,2,BTE_BTE_G2,PCCRN,31.12,N
04/15/2025,13,2,BTE_BTE_G3,PCCRN,31.12,N
04/15/2025,13,2,BTE_BTE_G4,PCCRN,31.12,N
04/15/2025,13,2,BTE_CC1,LCCRN,31.12,N
04/15/2025,13,2,BTE_PUN1,PUN,31.12,N
04/15/2025,13,2,BTE_PUN2,PUN,31.12,N
04/15/2025,13,2,BTM_ALL,RN,30.86,N
04/15/2025,13,2,BUCHAN_ALL,RN,22.54,N
04/15/2025,13,2,BUCKTHRN_RN,RN,22.72,N
04/15/2025,13,2,BUFF_GAP_ALL,RN,16.67,N
04/15/2025,13,2,BULLCRK_1_2,RN,16.09,N
04/15/2025,13,2,BVE_CC1,LCCRN,30.91,N
04/15/2025,13,2,BVE_UNIT1,PCCRN,30.91,N
04/15/2025,13,2,BVE_UNIT2,PCCRN,30.91,N
