DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/11/2025,2,1,7RNCHSLR_ALL,RN,29.23,N
04/11/2025,2,1,ABINDUST_RN,RN,29.91,N
04/11/2025,2,1,ADL_RN,RN,28.92,N
04/11/2025,2,1,AEEC,RN,29.85,N
04/11/2025,2,1,AE_RN,RN,28.74,N
04/11/2025,2,1,AGUAYO_UNIT1,RN,29.81,N
04/11/2025,2,1,AJAXWIND_RN,RN,29.77,N
04/11/2025,2,1,ALGOD_ALL_RN,RN,22.31,N
04/11/2025,2,1,ALP_BESS_RN,RN,29.99,N
04/11/2025,2,1,ALVIN_RN,RN,28.77,N
04/11/2025,2,1,AMADEUS_ALL,RN,29.86,N
04/11/2025,2,1,AMISTAD_ALL,RN,36.57,N
04/11/2025,2,1,AMOCOOIL_CC1,LCCRN,28.92,N
04/11/2025,2,1,AMOCOOIL_CC2,LCCRN,28.92,N
04/11/2025,2,1,AMOCO_PUN1,PUN,28.92,N
04/11/2025,2,1,AMOCO_PUN2,PUN,28.92,N
04/11/2025,2,1,AMO_AMOCO_1,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_2,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_5,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_G1,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_G2,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_G3,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_S1,PCCRN,28.92,N
04/11/2025,2,1,AMO_AMOCO_S2,PCCRN,28.92,N
04/11/2025,2,1,ANACACHO_ANA,RN,37.75,N
04/11/2025,2,1,ANCHOR_ALL,RN,29.85,N
04/11/2025,2,1,ANDMDSLR_ALL,RN,29.87,N
04/11/2025,2,1,ANEM_ESS_RN,RN,12.66,N
04/11/2025,2,1,ANG_ALL,RN,30.05,N
04/11/2025,2,1,ANOL_ESS_RN,RN,29.57,N
04/11/2025,2,1,ANSON1_ALL,RN,29.87,N
04/11/2025,2,1,ANTL_ESS_ES1,RN,34.75,N
04/11/2025,2,1,APPALOSA_ALL,RN,30.49,N
04/11/2025,2,1,AQUI_ALL,RN,29.61,N
04/11/2025,2,1,ARAGORN_RN,RN,30.13,N
04/11/2025,2,1,ASCK_SLR_RN,RN,29.61,N
04/11/2025,2,1,ASTRA_RN,RN,29.83,N
04/11/2025,2,1,ATK_ATKINSG7,RN,29.26,N
04/11/2025,2,1,AURO_SLR_RN,RN,29.55,N
04/11/2025,2,1,AUSTPL_ALL,RN,29.74,N
04/11/2025,2,1,AVIAT_ALL,RN,30.02,N
04/11/2025,2,1,AVIL_ESS_RN,RN,30.25,N
04/11/2025,2,1,AZSP_SLR_RN,RN,29.52,N
04/11/2025,2,1,AZURE_RN,RN,29.83,N
04/11/2025,2,1,AZ_ALL,RN,28.92,N
04/11/2025,2,1,BAC_RN_ALL,RN,28.92,N
04/11/2025,2,1,BAFFIN_ALL,RN,17.69,N
04/11/2025,2,1,BAIRDWND_ALL,RN,29.85,N
04/11/2025,2,1,BAKE_RN_ALL,RN,29.61,N
