DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/16/2025,17,2,7RNCHSLR_ALL,RN,16.09,N
04/16/2025,17,2,ABINDUST_RN,RN,-3.42,N
04/16/2025,17,2,ADL_RN,RN,44.83,N
04/16/2025,17,2,AEEC,RN,-15.6,N
04/16/2025,17,2,AE_RN,RN,27.85,N
04/16/2025,17,2,AGUAYO_UNIT1,RN,-1.36,N
04/16/2025,17,2,AJAXWIND_RN,RN,-24.97,N
04/16/2025,17,2,ALGOD_ALL_RN,RN,0.33,N
04/16/2025,17,2,ALP_BESS_RN,RN,-3.94,N
04/16/2025,17,2,ALVIN_RN,RN,43.16,N
04/16/2025,17,2,AMADEUS_ALL,RN,-6.49,N
04/16/2025,17,2,AMISTAD_ALL,RN,-4.12,N
04/16/2025,17,2,AMOCOOIL_CC1,LCCRN,43.45,N
04/16/2025,17,2,AMOCOOIL_CC2,LCCRN,43.45,N
04/16/2025,17,2,AMOCO_PUN1,PUN,43.45,N
04/16/2025,17,2,AMOCO_PUN2,PUN,43.45,N
04/16/2025,17,2,AMO_AMOCO_1,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_2,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_5,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_G1,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_G2,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_G3,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_S1,PCCRN,43.45,N
04/16/2025,17,2,AMO_AMOCO_S2,PCCRN,43.45,N
04/16/2025,17,2,ANACACHO_ANA,RN,-0.96,N
04/16/2025,17,2,ANCHOR_ALL,RN,-6.92,N
04/16/2025,17,2,ANDMDSLR_ALL,RN,-6.99,N
04/16/2025,17,2,ANEM_ESS_RN,RN,-5.1,N
04/16/2025,17,2,ANG_ALL,RN,-4.19,N
04/16/2025,17,2,ANOL_ESS_RN,RN,28.73,N
04/16/2025,17,2,ANSON1_ALL,RN,-6.74,N
04/16/2025,17,2,ANTL_ESS_ES1,RN,-3.53,N
04/16/2025,17,2,APPALOSA_ALL,RN,-1.03,N
04/16/2025,17,2,AQUI_ALL,RN,-23.92,N
04/16/2025,17,2,ARAGORN_RN,RN,0.04,N
04/16/2025,17,2,ASCK_SLR_RN,RN,-23.92,N
04/16/2025,17,2,ASTRA_RN,RN,-26.84,N
04/16/2025,17,2,ATK_ATKINSG7,RN,37.48,N
04/16/2025,17,2,AURO_SLR_RN,RN,-1.37,N
04/16/2025,17,2,AUSTPL_ALL,RN,29.2,N
04/16/2025,17,2,AVIAT_ALL,RN,-5.05,N
04/16/2025,17,2,AVIL_ESS_RN,RN,-0.16,N
04/16/2025,17,2,AZSP_SLR_RN,RN,33.8,N
04/16/2025,17,2,AZURE_RN,RN,-3.91,N
04/16/2025,17,2,AZ_ALL,RN,44.47,N
04/16/2025,17,2,BAC_RN_ALL,RN,43.51,N
04/16/2025,17,2,BAFFIN_ALL,RN,-14.95,N
04/16/2025,17,2,BAIRDWND_ALL,RN,-6.92,N
04/16/2025,17,2,BAKE_RN_ALL,RN,11.01,N
04/16/2025,17,2,BARROW_ALL,RN,-0.52,N
04/16/2025,17,2,BASTEN_CC1,LCCRN,17.86,N
04/16/2025,17,2,BASTEN_CCU,PCCRN,17.86,N
04/16/2025,17,2,BATCAVE_RN,RN,4.12,N
04/16/2025,17,2,BAYC_BESS_RN,RN,6.21,N
04/16/2025,17,2,BBREEZE_1_2,RN,-28.51,N
04/16/2025,17,2,BCATWD_WD_1,RN,-35.45,N
04/16/2025,17,2,BCH_RN,RN,27.85,N
04/16/2025,17,2,BCK_RN,RN,-1.39,N
04/16/2025,17,2,BCNV_RN,RN,43.16,N
04/16/2025,17,2,BELM_SLR_RN,RN,-7.13,N
04/16/2025,17,2,BEXAR_ES_RN,RN,13.73,N
04/16/2025,17,2,BIGSTAR_ALL,RN,17.44,N
04/16/2025,17,2,BKSL_RN,RN,-15.72,N
04/16/2025,17,2,BLACKJAK_RN,RN,0.59,N
04/16/2025,17,2,BLSMT1_5_A_6,RN,-22.69,N
04/16/2025,17,2,BLUEJAY_RN,RN,39.54,N
04/16/2025,17,2,BLVN_RN,RN,-6.42,N
04/16/2025,17,2,BOARDCRK_ALL,RN,33.18,N
04/16/2025,17,2,BOCO_ESS_RN,RN,-6.13,N
04/16/2025,17,2,BOOTLEG_UN1,RN,-0.02,N
04/16/2025,17,2,BORDAS_345,RN,-5.81,N
04/16/2025,17,2,BOSQUESW_CC1,LCCRN,1.69,N
04/16/2025,17,2,BOSQUESW_CC2,LCCRN,-0.68,N
04/16/2025,17,2,BOSQ_BSQSU_5,PCCRN,-0.68,N
04/16/2025,17,2,BOSQ_BSQS_12,PCCRN,-0.68,N
04/16/2025,17,2,BOSQ_BSQS_34,PCCRN,1.69,N
04/16/2025,17,2,BRANDON_RN,RN,-14.47,N
04/16/2025,17,2,BRAUNIG_CC1,LCCRN,13.61,N
04/16/2025,17,2,BRAUNIG_VHB1,RN,12.99,N
04/16/2025,17,2,BRAUNIG_VHB2,RN,12.99,N
04/16/2025,17,2,BRAUNIG_VHB3,RN,12.99,N
04/16/2025,17,2,BRAZ_WND_ALL,RN,-6.45,N
04/16/2025,17,2,BRA_AVR1_CT2,PCCRN,13.61,N
04/16/2025,17,2,BRA_AVR_CST1,PCCRN,13.61,N
04/16/2025,17,2,BRHEIGHT_RN,RN,43.45,N
04/16/2025,17,2,BRIGHTSD_RN,RN,6.99,N
04/16/2025,17,2,BRIGHTSD_U1,RN,6.96,N
04/16/2025,17,2,BRISCOE_WIND,RN,-27.16,N
04/16/2025,17,2,BRPANGLE_RN,RN,21.6,N
04/16/2025,17,2,BRPMAGNO_RN,RN,43.43,N
04/16/2025,17,2,BRP_BRAZ_RN,RN,22.86,N
04/16/2025,17,2,BRP_DIKN_RN,RN,43.43,N
04/16/2025,17,2,BRP_LOOP_RN,RN,3.75,N
04/16/2025,17,2,BRP_LOP1_RN,RN,24.9,N
04/16/2025,17,2,BRP_PBL1_RN,RN,0.34,N
04/16/2025,17,2,BRP_PBL2_RN,RN,0.34,N
04/16/2025,17,2,BRP_RN_UNIT1,RN,12.61,N
04/16/2025,17,2,BRP_SWNY_RN,RN,23.25,N
04/16/2025,17,2,BRP_ZPT1_RN,RN,20.9,N
04/16/2025,17,2,BRP_ZPT2_RN,RN,20.9,N
04/16/2025,17,2,BRTSW_BCW1,RN,-9.23,N
04/16/2025,17,2,BR_ARROW_ALL,RN,-0.66,N
04/16/2025,17,2,BR_VHB6CT5_6,RN,12.68,N
04/16/2025,17,2,BR_VHB6CT7_8,RN,12.68,N
04/16/2025,17,2,BSS_U1,RN,23.73,N
04/16/2025,17,2,BTE_BTE_G1,PCCRN,44.62,N
04/16/2025,17,2,BTE_BTE_G2,PCCRN,44.62,N
04/16/2025,17,2,BTE_BTE_G3,PCCRN,44.62,N
04/16/2025,17,2,BTE_BTE_G4,PCCRN,44.62,N
04/16/2025,17,2,BTE_CC1,LCCRN,44.62,N
04/16/2025,17,2,BTE_PUN1,PUN,44.62,N
04/16/2025,17,2,BTE_PUN2,PUN,44.62,N
04/16/2025,17,2,BTM_ALL,RN,33.36,N
04/16/2025,17,2,BUCHAN_ALL,RN,15.56,N
