DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/16/2025,6,4,7RNCHSLR_ALL,RN,22.41,N
04/16/2025,6,4,ABINDUST_RN,RN,27.42,N
04/16/2025,6,4,ADL_RN,RN,20.26,N
04/16/2025,6,4,AEEC,RN,-5.69,N
04/16/2025,6,4,AE_RN,RN,20.81,N
04/16/2025,6,4,AGUAYO_UNIT1,RN,21.84,N
04/16/2025,6,4,AJAXWIND_RN,RN,11.29,N
04/16/2025,6,4,ALGOD_ALL_RN,RN,23.69,N
04/16/2025,6,4,ALP_BESS_RN,RN,170.27,N
04/16/2025,6,4,ALVIN_RN,RN,20.58,N
04/16/2025,6,4,AMADEUS_ALL,RN,9.48,N
04/16/2025,6,4,AMISTAD_ALL,RN,33.02,N
04/16/2025,6,4,AMOCOOIL_CC1,LCCRN,20.48,N
04/16/2025,6,4,AMOCOOIL_CC2,LCCRN,20.48,N
04/16/2025,6,4,AMOCO_PUN1,PUN,20.48,N
04/16/2025,6,4,AMOCO_PUN2,PUN,20.48,N
04/16/2025,6,4,AMO_AMOCO_1,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_2,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_5,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_G1,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_G2,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_G3,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_S1,PCCRN,20.48,N
04/16/2025,6,4,AMO_AMOCO_S2,PCCRN,20.48,N
04/16/2025,6,4,ANACACHO_ANA,RN,29.13,N
04/16/2025,6,4,ANCHOR_ALL,RN,10.68,N
04/16/2025,6,4,ANDMDSLR_ALL,RN,9.16,N
04/16/2025,6,4,ANEM_ESS_RN,RN,23.75,N
04/16/2025,6,4,ANG_ALL,RN,26.83,N
04/16/2025,6,4,ANOL_ESS_RN,RN,17.01,N
04/16/2025,6,4,ANSON1_ALL,RN,9.13,N
04/16/2025,6,4,ANTL_ESS_ES1,RN,34.29,N
04/16/2025,6,4,APPALOSA_ALL,RN,48.23,N
04/16/2025,6,4,AQUI_ALL,RN,17.27,N
04/16/2025,6,4,ARAGORN_RN,RN,60.36,N
04/16/2025,6,4,ASCK_SLR_RN,RN,17.27,N
04/16/2025,6,4,ASTRA_RN,RN,0.62,N
04/16/2025,6,4,ATK_ATKINSG7,RN,19.45,N
04/16/2025,6,4,AURO_SLR_RN,RN,19.79,N
04/16/2025,6,4,AUSTPL_ALL,RN,22.36,N
04/16/2025,6,4,AVIAT_ALL,RN,25.47,N
04/16/2025,6,4,AVIL_ESS_RN,RN,55.91,N
04/16/2025,6,4,AZSP_SLR_RN,RN,17.57,N
04/16/2025,6,4,AZURE_RN,RN,11.1,N
04/16/2025,6,4,AZ_ALL,RN,20.31,N
04/16/2025,6,4,BAC_RN_ALL,RN,20.47,N
04/16/2025,6,4,BAFFIN_ALL,RN,23.7,N
04/16/2025,6,4,BAIRDWND_ALL,RN,10.68,N
04/16/2025,6,4,BAKE_RN_ALL,RN,16.43,N
04/16/2025,6,4,BARROW_ALL,RN,71.52,N
04/16/2025,6,4,BASTEN_CC1,LCCRN,22.37,N
04/16/2025,6,4,BASTEN_CCU,PCCRN,22.37,N
04/16/2025,6,4,BATCAVE_RN,RN,25.41,N
04/16/2025,6,4,BAYC_BESS_RN,RN,21.81,N
04/16/2025,6,4,BBREEZE_1_2,RN,23.72,N
04/16/2025,6,4,BCATWD_WD_1,RN,-35.45,N
04/16/2025,6,4,BCH_RN,RN,20.81,N
04/16/2025,6,4,BCK_RN,RN,20.83,N
04/16/2025,6,4,BCNV_RN,RN,20.58,N
04/16/2025,6,4,BELM_SLR_RN,RN,19.65,N
04/16/2025,6,4,BEXAR_ES_RN,RN,24.32,N
04/16/2025,6,4,BIGSTAR_ALL,RN,22.6,N
04/16/2025,6,4,BKSL_RN,RN,5.42,N
04/16/2025,6,4,BLACKJAK_RN,RN,23.64,N
04/16/2025,6,4,BLSMT1_5_A_6,RN,8.72,N
04/16/2025,6,4,BLUEJAY_RN,RN,19.47,N
04/16/2025,6,4,BLVN_RN,RN,19.45,N
04/16/2025,6,4,BOARDCRK_ALL,RN,18.09,N
04/16/2025,6,4,BOCO_ESS_RN,RN,-35.94,N
04/16/2025,6,4,BOOTLEG_UN1,RN,51.56,N
04/16/2025,6,4,BORDAS_345,RN,23.8,N
04/16/2025,6,4,BOSQUESW_CC1,LCCRN,18.4,N
04/16/2025,6,4,BOSQUESW_CC2,LCCRN,18.42,N
04/16/2025,6,4,BOSQ_BSQSU_5,PCCRN,18.42,N
04/16/2025,6,4,BOSQ_BSQS_12,PCCRN,18.42,N
04/16/2025,6,4,BOSQ_BSQS_34,PCCRN,18.4,N
04/16/2025,6,4,BRANDON_RN,RN,-11.25,N
04/16/2025,6,4,BRAUNIG_CC1,LCCRN,24.25,N
04/16/2025,6,4,BRAUNIG_VHB1,RN,24.15,N
04/16/2025,6,4,BRAUNIG_VHB2,RN,24.15,N
04/16/2025,6,4,BRAUNIG_VHB3,RN,24.15,N
04/16/2025,6,4,BRAZ_WND_ALL,RN,25.81,N
04/16/2025,6,4,BRA_AVR1_CT2,PCCRN,24.25,N
