DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/15/2025,14,4,7RNCHSLR_ALL,RN,24.77,N
04/15/2025,14,4,ABINDUST_RN,RN,17.13,N
04/15/2025,14,4,ADL_RN,RN,27.05,N
04/15/2025,14,4,AEEC,RN,17.62,N
04/15/2025,14,4,AE_RN,RN,26.47,N
04/15/2025,14,4,AGUAYO_UNIT1,RN,9.53,N
04/15/2025,14,4,AJAXWIND_RN,RN,19.78,N
04/15/2025,14,4,ALGOD_ALL_RN,RN,22.47,N
04/15/2025,14,4,ALP_BESS_RN,RN,16.19,N
04/15/2025,14,4,ALVIN_RN,RN,26.73,N
04/15/2025,14,4,AMADEUS_ALL,RN,15.56,N
04/15/2025,14,4,AMISTAD_ALL,RN,1.35,N
04/15/2025,14,4,AMOCOOIL_CC1,LCCRN,26.83,N
04/15/2025,14,4,AMOCOOIL_CC2,LCCRN,26.83,N
04/15/2025,14,4,AMOCO_PUN1,PUN,26.83,N
04/15/2025,14,4,AMOCO_PUN2,PUN,26.83,N
04/15/2025,14,4,AMO_AMOCO_1,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_2,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_5,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_G1,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_G2,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_G3,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_S1,PCCRN,26.83,N
04/15/2025,14,4,AMO_AMOCO_S2,PCCRN,26.83,N
04/15/2025,14,4,ANACACHO_ANA,RN,8.66,N
04/15/2025,14,4,ANCHOR_ALL,RN,11.71,N
04/15/2025,14,4,ANDMDSLR_ALL,RN,15.73,N
04/15/2025,14,4,ANEM_ESS_RN,RN,28.96,N
04/15/2025,14,4,ANG_ALL,RN,16.18,N
04/15/2025,14,4,ANOL_ESS_RN,RN,28.66,N
04/15/2025,14,4,ANSON1_ALL,RN,13.02,N
04/15/2025,14,4,ANTL_ESS_ES1,RN,5.55,N
04/15/2025,14,4,APPALOSA_ALL,RN,15.6,N
04/15/2025,14,4,AQUI_ALL,RN,-11.32,N
04/15/2025,14,4,ARAGORN_RN,RN,16.4,N
04/15/2025,14,4,ASCK_SLR_RN,RN,-11.32,N
04/15/2025,14,4,ASTRA_RN,RN,0.97,N
04/15/2025,14,4,ATK_ATKINSG7,RN,25.43,N
04/15/2025,14,4,AURO_SLR_RN,RN,-1.7,N
04/15/2025,14,4,AUSTPL_ALL,RN,22.72,N
04/15/2025,14,4,AVIAT_ALL,RN,16.21,N
04/15/2025,14,4,AVIL_ESS_RN,RN,16.23,N
04/15/2025,14,4,AZSP_SLR_RN,RN,33.02,N
04/15/2025,14,4,AZURE_RN,RN,14.65,N
04/15/2025,14,4,AZ_ALL,RN,26.99,N
04/15/2025,14,4,BAC_RN_ALL,RN,26.85,N
04/15/2025,14,4,BAFFIN_ALL,RN,12.34,N
04/15/2025,14,4,BAIRDWND_ALL,RN,11.71,N
04/15/2025,14,4,BAKE_RN_ALL,RN,10.08,N
04/15/2025,14,4,BARROW_ALL,RN,16.31,N
04/15/2025,14,4,BASTEN_CC1,LCCRN,24.89,N
04/15/2025,14,4,BASTEN_CCU,PCCRN,24.89,N
04/15/2025,14,4,BATCAVE_RN,RN,18.6,N
04/15/2025,14,4,BAYC_BESS_RN,RN,25.35,N
04/15/2025,14,4,BBREEZE_1_2,RN,3.38,N
04/15/2025,14,4,BCATWD_WD_1,RN,19.31,N
04/15/2025,14,4,BCH_RN,RN,26.47,N
04/15/2025,14,4,BCK_RN,RN,26.45,N
04/15/2025,14,4,BCNV_RN,RN,26.73,N
04/15/2025,14,4,BELM_SLR_RN,RN,-2.25,N
04/15/2025,14,4,BEXAR_ES_RN,RN,22.45,N
04/15/2025,14,4,BIGSTAR_ALL,RN,24.22,N
04/15/2025,14,4,BKSL_RN,RN,17.64,N
04/15/2025,14,4,BLACKJAK_RN,RN,22.54,N
04/15/2025,14,4,BLSMT1_5_A_6,RN,19.3,N
04/15/2025,14,4,BLUEJAY_RN,RN,27.37,N
04/15/2025,14,4,BLVN_RN,RN,-2.84,N
04/15/2025,14,4,BOARDCRK_ALL,RN,29.54,N
04/15/2025,14,4,BOCO_ESS_RN,RN,16.17,N
04/15/2025,14,4,BOOTLEG_UN1,RN,16.66,N
04/15/2025,14,4,BORDAS_345,RN,28.43,N
04/15/2025,14,4,BOSQUESW_CC1,LCCRN,1.67,N
04/15/2025,14,4,BOSQUESW_CC2,LCCRN,-1.61,N
04/15/2025,14,4,BOSQ_BSQSU_5,PCCRN,-1.61,N
04/15/2025,14,4,BOSQ_BSQS_12,PCCRN,-1.61,N
04/15/2025,14,4,BOSQ_BSQS_34,PCCRN,1.67,N
04/15/2025,14,4,BRANDON_RN,RN,17.35,N
04/15/2025,14,4,BRAUNIG_CC1,LCCRN,22.74,N
04/15/2025,14,4,BRAUNIG_VHB1,RN,22.84,N
04/15/2025,14,4,BRAUNIG_VHB2,RN,22.84,N
04/15/2025,14,4,BRAUNIG_VHB3,RN,22.84,N
04/15/2025,14,4,BRAZ_WND_ALL,RN,16.22,N
04/15/2025,14,4,BRA_AVR1_CT2,PCCRN,22.74,N
04/15/2025,14,4,BRA_AVR_CST1,PCCRN,22.74,N
04/15/2025,14,4,BRHEIGHT_RN,RN,26.82,N
