DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/17/2025,11,1,7RNCHSLR_ALL,RN,14.86,N
04/17/2025,11,1,ABINDUST_RN,RN,5.98,N
04/17/2025,11,1,ADL_RN,RN,18.47,N
04/17/2025,11,1,AEEC,RN,1.32,N
04/17/2025,11,1,AE_RN,RN,16.56,N
04/17/2025,11,1,AGUAYO_UNIT1,RN,12.25,N
04/17/2025,11,1,AJAXWIND_RN,RN,-3.08,N
04/17/2025,11,1,ALGOD_ALL_RN,RN,5.22,N
04/17/2025,11,1,ALP_BESS_RN,RN,6.59,N
04/17/2025,11,1,ALVIN_RN,RN,18.41,N
04/17/2025,11,1,AMADEUS_ALL,RN,5.07,N
04/17/2025,11,1,AMISTAD_ALL,RN,35.65,N
04/17/2025,11,1,AMOCOOIL_CC1,LCCRN,18.37,N
04/17/2025,11,1,AMOCOOIL_CC2,LCCRN,18.37,N
04/17/2025,11,1,AMOCO_PUN1,PUN,18.37,N
04/17/2025,11,1,AMOCO_PUN2,PUN,18.37,N
04/17/2025,11,1,AMO_AMOCO_1,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_2,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_5,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_G1,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_G2,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_G3,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_S1,PCCRN,18.37,N
04/17/2025,11,1,AMO_AMOCO_S2,PCCRN,18.37,N
04/17/2025,11,1,ANACACHO_ANA,RN,30.64,N
04/17/2025,11,1,ANCHOR_ALL,RN,7.89,N
04/17/2025,11,1,ANDMDSLR_ALL,RN,4.72,N
04/17/2025,11,1,ANEM_ESS_RN,RN,0.46,N
04/17/2025,11,1,ANG_ALL,RN,8.19,N
04/17/2025,11,1,ANOL_ESS_RN,RN,23.56,N
04/17/2025,11,1,ANSON1_ALL,RN,7.25,N
04/17/2025,11,1,ANTL_ESS_ES1,RN,-25,N
04/17/2025,11,1,APPALOSA_ALL,RN,6.57,N
04/17/2025,11,1,AQUI_ALL,RN,16.89,N
04/17/2025,11,1,ARAGORN_RN,RN,8.87,N
04/17/2025,11,1,ASCK_SLR_RN,RN,16.89,N
04/17/2025,11,1,ASTRA_RN,RN,-19.58,N
04/17/2025,11,1,ATK_ATKINSG7,RN,18.55,N
04/17/2025,11,1,AURO_SLR_RN,RN,16.82,N
04/17/2025,11,1,AUSTPL_ALL,RN,15.16,N
04/17/2025,11,1,AVIAT_ALL,RN,7.52,N
04/17/2025,11,1,AVIL_ESS_RN,RN,6.1,N
04/17/2025,11,1,AZSP_SLR_RN,RN,21.79,N
04/17/2025,11,1,AZURE_RN,RN,6.89,N
04/17/2025,11,1,AZ_ALL,RN,18.43,N
04/17/2025,11,1,BAC_RN_ALL,RN,18.37,N
04/17/2025,11,1,BAFFIN_ALL,RN,-13.21,N
04/17/2025,11,1,BAIRDWND_ALL,RN,7.89,N
04/17/2025,11,1,BAKE_RN_ALL,RN,19.36,N
04/17/2025,11,1,BARROW_ALL,RN,7.34,N
04/17/2025,11,1,BASTEN_CC1,LCCRN,15.26,N
04/17/2025,11,1,BASTEN_CCU,PCCRN,15.26,N
04/17/2025,11,1,BATCAVE_RN,RN,12.66,N
04/17/2025,11,1,BAYC_BESS_RN,RN,13.96,N
04/17/2025,11,1,BBREEZE_1_2,RN,-27.85,N
04/17/2025,11,1,BCATWD_WD_1,RN,-35.45,N
04/17/2025,11,1,BCH_RN,RN,16.56,N
04/17/2025,11,1,BCK_RN,RN,14.96,N
04/17/2025,11,1,BCNV_RN,RN,18.41,N
04/17/2025,11,1,BELM_SLR_RN,RN,16.19,N
04/17/2025,11,1,BEXAR_ES_RN,RN,15.72,N
04/17/2025,11,1,BIGSTAR_ALL,RN,15.19,N
04/17/2025,11,1,BKSL_RN,RN,0.77,N
04/17/2025,11,1,BLACKJAK_RN,RN,5.15,N
04/17/2025,11,1,BLSMT1_5_A_6,RN,-2.96,N
04/17/2025,11,1,BLUEJAY_RN,RN,18.72,N
04/17/2025,11,1,BLVN_RN,RN,16.25,N
04/17/2025,11,1,BOARDCRK_ALL,RN,19.68,N
04/17/2025,11,1,BOCO_ESS_RN,RN,5.8,N
04/17/2025,11,1,BOOTLEG_UN1,RN,7.24,N
04/17/2025,11,1,BORDAS_345,RN,-6.28,N
04/17/2025,11,1,BOSQUESW_CC1,LCCRN,15.94,N
04/17/2025,11,1,BOSQUESW_CC2,LCCRN,16.2,N
04/17/2025,11,1,BOSQ_BSQSU_5,PCCRN,16.2,N
04/17/2025,11,1,BOSQ_BSQS_12,PCCRN,16.2,N
04/17/2025,11,1,BOSQ_BSQS_34,PCCRN,15.94,N
04/17/2025,11,1,BRANDON_RN,RN,2.14,N
04/17/2025,11,1,BRAUNIG_CC1,LCCRN,14.7,N
04/17/2025,11,1,BRAUNIG_VHB1,RN,15.35,N
04/17/2025,11,1,BRAUNIG_VHB2,RN,15.35,N
04/17/2025,11,1,BRAUNIG_VHB3,RN,15.35,N
04/17/2025,11,1,BRAZ_WND_ALL,RN,5.17,N
04/17/2025,11,1,BRA_AVR1_CT2,PCCRN,14.7,N
04/17/2025,11,1,BRA_AVR_CST1,PCCRN,14.7,N
04/17/2025,11,1,BRHEIGHT_RN,RN,18.37,N
04/17/2025,11,1,BRIGHTSD_RN,RN,16.89,N
04/17/2025,11,1,BRIGHTSD_U1,RN,15.92,N
04/17/2025,11,1,BRISCOE_WIND,RN,-19.82,N
04/17/2025,11,1,BRPANGLE_RN,RN,15.93,N
04/17/2025,11,1,BRPMAGNO_RN,RN,18.38,N
04/17/2025,11,1,BRP_BRAZ_RN,RN,16.04,N
