DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/17/2025,2,2,7RNCHSLR_ALL,RN,20.58,N
04/17/2025,2,2,ABINDUST_RN,RN,5.74,N
04/17/2025,2,2,ADL_RN,RN,22.77,N
04/17/2025,2,2,AEEC,RN,-17.1,N
04/17/2025,2,2,AE_RN,RN,22.24,N
04/17/2025,2,2,AGUAYO_UNIT1,RN,7,N
04/17/2025,2,2,AJAXWIND_RN,RN,-21.62,N
04/17/2025,2,2,ALGOD_ALL_RN,RN,12.99,N
04/17/2025,2,2,ALP_BESS_RN,RN,66.65,N
04/17/2025,2,2,ALVIN_RN,RN,22.49,N
04/17/2025,2,2,AMADEUS_ALL,RN,-3.55,N
04/17/2025,2,2,AMISTAD_ALL,RN,54.61,N
04/17/2025,2,2,AMOCOOIL_CC1,LCCRN,22.57,N
04/17/2025,2,2,AMOCOOIL_CC2,LCCRN,22.57,N
04/17/2025,2,2,AMOCO_PUN1,PUN,22.57,N
04/17/2025,2,2,AMOCO_PUN2,PUN,22.57,N
04/17/2025,2,2,AMO_AMOCO_1,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_2,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_5,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_G1,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_G2,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_G3,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_S1,PCCRN,22.57,N
04/17/2025,2,2,AMO_AMOCO_S2,PCCRN,22.57,N
04/17/2025,2,2,ANACACHO_ANA,RN,44.22,N
04/17/2025,2,2,ANCHOR_ALL,RN,0.48,N
04/17/2025,2,2,ANDMDSLR_ALL,RN,-4.18,N
04/17/2025,2,2,ANEM_ESS_RN,RN,-22.75,N
04/17/2025,2,2,ANG_ALL,RN,2.68,N
04/17/2025,2,2,ANOL_ESS_RN,RN,29.33,N
04/17/2025,2,2,ANSON1_ALL,RN,-1.16,N
04/17/2025,2,2,ANTL_ESS_ES1,RN,-24.97,N
04/17/2025,2,2,APPALOSA_ALL,RN,34.72,N
04/17/2025,2,2,AQUI_ALL,RN,21.53,N
04/17/2025,2,2,ARAGORN_RN,RN,48.37,N
04/17/2025,2,2,ASCK_SLR_RN,RN,21.53,N
04/17/2025,2,2,ASTRA_RN,RN,-17.77,N
04/17/2025,2,2,ATK_ATKINSG7,RN,23.27,N
04/17/2025,2,2,AURO_SLR_RN,RN,21.56,N
04/17/2025,2,2,AUSTPL_ALL,RN,20.42,N
04/17/2025,2,2,AVIAT_ALL,RN,-0.39,N
04/17/2025,2,2,AVIL_ESS_RN,RN,45.67,N
04/17/2025,2,2,AZSP_SLR_RN,RN,27.22,N
04/17/2025,2,2,AZURE_RN,RN,-0.32,N
04/17/2025,2,2,AZ_ALL,RN,22.72,N
04/17/2025,2,2,BAC_RN_ALL,RN,22.59,N
04/17/2025,2,2,BAFFIN_ALL,RN,-2.51,N
04/17/2025,2,2,BAIRDWND_ALL,RN,0.48,N
04/17/2025,2,2,BAKE_RN_ALL,RN,24.06,N
04/17/2025,2,2,BARROW_ALL,RN,48.8,N
04/17/2025,2,2,BASTEN_CC1,LCCRN,20.7,N
04/17/2025,2,2,BASTEN_CCU,PCCRN,20.7,N
04/17/2025,2,2,BATCAVE_RN,RN,15.88,N
04/17/2025,2,2,BAYC_BESS_RN,RN,20.6,N
04/17/2025,2,2,BBREEZE_1_2,RN,-6.06,N
04/17/2025,2,2,BCATWD_WD_1,RN,-35.41,N
04/17/2025,2,2,BCH_RN,RN,22.24,N
04/17/2025,2,2,BCK_RN,RN,22.28,N
04/17/2025,2,2,BCNV_RN,RN,22.49,N
04/17/2025,2,2,BELM_SLR_RN,RN,20.86,N
04/17/2025,2,2,BEXAR_ES_RN,RN,21.91,N
04/17/2025,2,2,BIGSTAR_ALL,RN,20.72,N
04/17/2025,2,2,BKSL_RN,RN,-14.24,N
04/17/2025,2,2,BLACKJAK_RN,RN,12.96,N
04/17/2025,2,2,BLSMT1_5_A_6,RN,-21.64,N
04/17/2025,2,2,BLUEJAY_RN,RN,23.41,N
04/17/2025,2,2,BLVN_RN,RN,20.94,N
04/17/2025,2,2,BOARDCRK_ALL,RN,24.82,N
04/17/2025,2,2,BOCO_ESS_RN,RN,-17.96,N
04/17/2025,2,2,BOOTLEG_UN1,RN,45.4,N
04/17/2025,2,2,BORDAS_345,RN,-29.18,N
04/17/2025,2,2,BOSQUESW_CC1,LCCRN,21.66,N
04/17/2025,2,2,BOSQUESW_CC2,LCCRN,21.49,N
04/17/2025,2,2,BOSQ_BSQSU_5,PCCRN,21.49,N
04/17/2025,2,2,BOSQ_BSQS_12,PCCRN,21.49,N
04/17/2025,2,2,BOSQ_BSQS_34,PCCRN,21.66,N
04/17/2025,2,2,BRANDON_RN,RN,-17.26,N
