DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/13/2025,20,2,7RNCHSLR_ALL,RN,69.93,N
04/13/2025,20,2,ABINDUST_RN,RN,56.17,N
04/13/2025,20,2,ADL_RN,RN,59.07,N
04/13/2025,20,2,AEEC,RN,23.85,N
04/13/2025,20,2,AE_RN,RN,57.63,N
04/13/2025,20,2,AGUAYO_UNIT1,RN,50.63,N
04/13/2025,20,2,AJAXWIND_RN,RN,40.63,N
04/13/2025,20,2,ALGOD_ALL_RN,RN,28.65,N
04/13/2025,20,2,ALP_BESS_RN,RN,186.93,N
04/13/2025,20,2,ALVIN_RN,RN,58.05,N
04/13/2025,20,2,AMADEUS_ALL,RN,35.73,N
04/13/2025,20,2,AMISTAD_ALL,RN,68.81,N
04/13/2025,20,2,AMOCOOIL_CC1,LCCRN,58.36,N
04/13/2025,20,2,AMOCOOIL_CC2,LCCRN,58.36,N
04/13/2025,20,2,AMOCO_PUN1,PUN,58.36,N
04/13/2025,20,2,AMOCO_PUN2,PUN,58.36,N
04/13/2025,20,2,AMO_AMOCO_1,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_2,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_5,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_G1,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_G2,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_G3,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_S1,PCCRN,58.36,N
04/13/2025,20,2,AMO_AMOCO_S2,PCCRN,58.36,N
04/13/2025,20,2,ANACACHO_ANA,RN,65.74,N
04/13/2025,20,2,ANCHOR_ALL,RN,42.09,N
04/13/2025,20,2,ANDMDSLR_ALL,RN,34.56,N
04/13/2025,20,2,ANEM_ESS_RN,RN,-11.2,N
04/13/2025,20,2,ANG_ALL,RN,48.84,N
04/13/2025,20,2,ANOL_ESS_RN,RN,62.24,N
04/13/2025,20,2,ANSON1_ALL,RN,40.22,N
04/13/2025,20,2,ANTL_ESS_ES1,RN,65.68,N
04/13/2025,20,2,APPALOSA_ALL,RN,71.07,N
04/13/2025,20,2,AQUI_ALL,RN,60.28,N
04/13/2025,20,2,ARAGORN_RN,RN,83.4,N
04/13/2025,20,2,ASCK_SLR_RN,RN,60.28,N
04/13/2025,20,2,ASTRA_RN,RN,-4.23,N
04/13/2025,20,2,ATK_ATKINSG7,RN,61.37,N
04/13/2025,20,2,AURO_SLR_RN,RN,64.25,N
04/13/2025,20,2,AUSTPL_ALL,RN,84.06,N
04/13/2025,20,2,AVIAT_ALL,RN,49.67,N
04/13/2025,20,2,AVIL_ESS_RN,RN,78.71,N
04/13/2025,20,2,AZSP_SLR_RN,RN,61.92,N
04/13/2025,20,2,AZURE_RN,RN,41.79,N
04/13/2025,20,2,AZ_ALL,RN,58.91,N
04/13/2025,20,2,BAC_RN_ALL,RN,58.42,N
04/13/2025,20,2,BAFFIN_ALL,RN,-3.41,N
04/13/2025,20,2,BAIRDWND_ALL,RN,42.09,N
04/13/2025,20,2,BAKE_RN_ALL,RN,63.14,N
04/13/2025,20,2,BARROW_ALL,RN,93.79,N
04/13/2025,20,2,BASTEN_CC1,LCCRN,89.55,N
04/13/2025,20,2,BASTEN_CCU,PCCRN,89.55,N
04/13/2025,20,2,BATCAVE_RN,RN,-7.55,N
04/13/2025,20,2,BAYC_BESS_RN,RN,53.82,N
04/13/2025,20,2,BBREEZE_1_2,RN,-29.19,N
04/13/2025,20,2,BCATWD_WD_1,RN,37.13,N
04/13/2025,20,2,BCH_RN,RN,57.63,N
04/13/2025,20,2,BCK_RN,RN,57.5,N
04/13/2025,20,2,BCNV_RN,RN,58.05,N
04/13/2025,20,2,BELM_SLR_RN,RN,63.92,N
04/13/2025,20,2,BEXAR_ES_RN,RN,38.06,N
04/13/2025,20,2,BIGSTAR_ALL,RN,105.55,N
04/13/2025,20,2,BKSL_RN,RN,32.89,N
04/13/2025,20,2,BLACKJAK_RN,RN,31.39,N
04/13/2025,20,2,BLSMT1_5_A_6,RN,38.26,N
04/13/2025,20,2,BLUEJAY_RN,RN,60.89,N
04/13/2025,20,2,BLVN_RN,RN,63.64,N
04/13/2025,20,2,BOARDCRK_ALL,RN,60.88,N
04/13/2025,20,2,BOCO_ESS_RN,RN,-3,N
04/13/2025,20,2,BOOTLEG_UN1,RN,73.4,N
04/13/2025,20,2,BORDAS_345,RN,-37.47,N
04/13/2025,20,2,BOSQUESW_CC1,LCCRN,65.97,N
04/13/2025,20,2,BOSQUESW_CC2,LCCRN,64.37,N
04/13/2025,20,2,BOSQ_BSQSU_5,PCCRN,64.37,N
04/13/2025,20,2,BOSQ_BSQS_12,PCCRN,64.37,N
04/13/2025,20,2,BOSQ_BSQS_34,PCCRN,65.97,N
04/13/2025,20,2,BRANDON_RN,RN,18.91,N
04/13/2025,20,2,BRAUNIG_CC1,LCCRN,36.72,N
04/13/2025,20,2,BRAUNIG_VHB1,RN,37.8,N
04/13/2025,20,2,BRAUNIG_VHB2,RN,37.8,N
04/13/2025,20,2,BRAUNIG_VHB3,RN,37.8,N
04/13/2025,20,2,BRAZ_WND_ALL,RN,51.1,N
04/13/2025,20,2,BRA_AVR1_CT2,PCCRN,36.72,N
04/13/2025,20,2,BRA_AVR_CST1,PCCRN,36.72,N
04/13/2025,20,2,BRHEIGHT_RN,RN,58.36,N
04/13/2025,20,2,BRIGHTSD_RN,RN,45.78,N
04/13/2025,20,2,BRIGHTSD_U1,RN,45.38,N
04/13/2025,20,2,BRISCOE_WIND,RN,-2.81,N
04/13/2025,20,2,BRPANGLE_RN,RN,57.23,N
04/13/2025,20,2,BRPMAGNO_RN,RN,58.34,N
04/13/2025,20,2,BRP_BRAZ_RN,RN,57.4,N
04/13/2025,20,2,BRP_DIKN_RN,RN,58.34,N
04/13/2025,20,2,BRP_LOOP_RN,RN,43.9,N
04/13/2025,20,2,BRP_LOP1_RN,RN,-34.59,N
04/13/2025,20,2,BRP_PBL1_RN,RN,76.62,N
04/13/2025,20,2,BRP_PBL2_RN,RN,76.62,N
04/13/2025,20,2,BRP_RN_UNIT1,RN,36.15,N
04/13/2025,20,2,BRP_SWNY_RN,RN,57.45,N
04/13/2025,20,2,BRP_ZPT1_RN,RN,8.38,N
04/13/2025,20,2,BRP_ZPT2_RN,RN,8.38,N
04/13/2025,20,2,BRTSW_BCW1,RN,46.71,N
04/13/2025,20,2,BR_ARROW_ALL,RN,62.9,N
04/13/2025,20,2,BR_VHB6CT5_6,RN,37.79,N
04/13/2025,20,2,BR_VHB6CT7_8,RN,37.79,N
04/13/2025,20,2,BSS_U1,RN,57.51,N
04/13/2025,20,2,BTE_BTE_G1,PCCRN,58.96,N
04/13/2025,20,2,BTE_BTE_G2,PCCRN,58.96,N
04/13/2025,20,2,BTE_BTE_G3,PCCRN,58.96,N
04/13/2025,20,2,BTE_BTE_G4,PCCRN,58.96,N
04/13/2025,20,2,BTE_CC1,LCCRN,58.96,N
04/13/2025,20,2,BTE_PUN1,PUN,58.96,N
04/13/2025,20,2,BTE_PUN2,PUN,58.96,N
04/13/2025,20,2,BTM_ALL,RN,58.07,N
04/13/2025,20,2,BUCHAN_ALL,RN,-6.27,N
04/13/2025,20,2,BUCKTHRN_RN,RN,86.25,N
04/13/2025,20,2,BUFF_GAP_ALL,RN,46.76,N
04/13/2025,20,2,BULLCRK_1_2,RN,46.55,N
04/13/2025,20,2,BVE_CC1,LCCRN,58.1,N
04/13/2025,20,2,BVE_UNIT1,PCCRN,58.1,N
