timestamp,temperature,windspeed,solar_irradiance
2025-04-14 13:00:00-05:00,79.9,9.3,675.0
2025-04-14 14:00:00-05:00,80.9,8.6,1195.0
2025-04-14 15:00:00-05:00,83.0,4.1,1073.0
2025-04-14 16:00:00-05:00,85.1,4.7,262.0
2025-04-14 17:00:00-05:00,84.9,3.7,461.0
2025-04-14 18:00:00-05:00,85.1,5.5,204.0
2025-04-14 19:00:00-05:00,82.5,10.5,36.0
2025-04-14 20:00:00-05:00,78.7,12.3,0.0
2025-04-14 21:00:00-05:00,76.0,10.3,0.0
2025-04-14 22:00:00-05:00,75.0,11.6,0.0
2025-04-14 23:00:00-05:00,72.7,10.2,0.0
2025-04-15 00:00:00-05:00,71.4,13.0,0.0
2025-04-15 01:00:00-05:00,69.2,16.8,0.0
2025-04-15 02:00:00-05:00,66.9,16.0,0.0
2025-04-15 03:00:00-05:00,65.6,16.3,0.0
2025-04-15 04:00:00-05:00,64.2,12.8,0.0
2025-04-15 05:00:00-05:00,62.2,10.9,0.0
2025-04-15 06:00:00-05:00,61.1,8.4,0.0
2025-04-15 07:00:00-05:00,59.7,9.0,6.0
2025-04-15 08:00:00-05:00,59.5,6.6,55.0
2025-04-15 09:00:00-05:00,62.5,11.1,113.0
2025-04-15 10:00:00-05:00,65.0,11.3,830.0
2025-04-15 11:00:00-05:00,66.9,10.8,1065.0
2025-04-15 12:00:00-05:00,69.7,10.2,1137.0
2025-04-15 13:00:00-05:00,71.2,10.1,53.0
2025-04-15 14:00:00-05:00,73.2,11.0,16.0
2025-04-15 15:00:00-05:00,73.6,12.1,1142.0
2025-04-15 16:00:00-05:00,73.5,11.9,967.0
2025-04-15 17:00:00-05:00,73.9,6.4,426.0
2025-04-15 18:00:00-05:00,73.6,7.8,147.0
2025-04-15 19:00:00-05:00,72.3,8.7,40.0
2025-04-15 20:00:00-05:00,69.3,4.3,0.0
2025-04-15 21:00:00-05:00,66.4,4.7,0.0
2025-04-15 22:00:00-05:00,64.1,3.8,0.0
2025-04-15 23:00:00-05:00,62.3,3.0,0.0
2025-04-16 00:00:00-05:00,61.1,3.5,0.0
2025-04-16 01:00:00-05:00,60.0,4.2,0.0
2025-04-16 02:00:00-05:00,58.8,3.0,0.0
2025-04-16 03:00:00-05:00,58.4,3.5,0.0
2025-04-16 04:00:00-05:00,58.4,5.9,0.0
2025-04-16 05:00:00-05:00,57.7,4.6,0.0
2025-04-16 06:00:00-05:00,58.1,7.2,0.0
2025-04-16 07:00:00-05:00,56.9,7.6,7.0
2025-04-16 08:00:00-05:00,59.2,8.9,66.0
2025-04-16 09:00:00-05:00,62.6,10.5,165.0
2025-04-16 10:00:00-05:00,67.1,9.5,780.0
2025-04-16 11:00:00-05:00,71.9,10.3,1017.0
2025-04-16 12:00:00-05:00,75.3,14.9,1164.0
2025-04-16 13:00:00-05:00,77.7,13.7,403.0
2025-04-16 14:00:00-05:00,77.6,16.5,311.0
2025-04-16 15:00:00-05:00,78.8,16.4,733.0
2025-04-16 16:00:00-05:00,80.1,17.2,618.0
2025-04-16 17:00:00-05:00,80.0,16.4,461.0
2025-04-16 18:00:00-05:00,80.2,14.2,187.0
2025-04-16 19:00:00-05:00,78.6,17.3,67.0
2025-04-16 20:00:00-05:00,76.8,13.0,0.0
2025-04-16 21:00:00-05:00,74.7,13.8,0.0
2025-04-16 22:00:00-05:00,73.4,11.8,0.0
2025-04-16 23:00:00-05:00,71.8,12.1,0.0
2025-04-17 00:00:00-05:00,71.1,12.3,0.0
2025-04-17 01:00:00-05:00,70.1,11.6,0.0
2025-04-17 02:00:00-05:00,69.1,10.3,0.0
2025-04-17 03:00:00-05:00,68.1,11.2,0.0
2025-04-17 04:00:00-05:00,66.7,11.1,0.0
2025-04-17 05:00:00-05:00,66.5,12.2,0.0
2025-04-17 06:00:00-05:00,67.5,11.5,0.0
2025-04-17 07:00:00-05:00,66.1,12.6,12.0
2025-04-17 08:00:00-05:00,66.1,11.3,95.0
2025-04-17 09:00:00-05:00,68.7,14.6,192.0
2025-04-17 10:00:00-05:00,71.9,12.0,303.0
2025-04-17 11:00:00-05:00,74.1,17.7,1107.0
2025-04-17 12:00:00-05:00,76.4,16.5,1138.0
2025-04-17 13:00:00-05:00,78.7,18.4,1025.0
2025-04-17 14:00:00-05:00,80.3,19.4,1153.0
2025-04-17 15:00:00-05:00,82.0,16.7,351.0
2025-04-17 16:00:00-05:00,81.3,20.1,549.0
2025-04-17 17:00:00-05:00,82.1,17.4,297.0
2025-04-17 18:00:00-05:00,82.5,16.1,117.0
2025-04-17 19:00:00-05:00,81.3,13.4,44.0
2025-04-17 20:00:00-05:00,79.5,15.9,0.0
2025-04-17 21:00:00-05:00,78.0,13.5,0.0
2025-04-17 22:00:00-05:00,76.4,16.0,0.0
2025-04-17 23:00:00-05:00,74.7,16.3,0.0
2025-04-18 00:00:00-05:00,73.1,14.7,0.0
2025-04-18 01:00:00-05:00,71.8,15.9,0.0
2025-04-18 02:00:00-05:00,71.0,17.8,0.0
2025-04-18 03:00:00-05:00,71.0,16.4,0.0
2025-04-18 04:00:00-05:00,70.4,16.6,0.0
2025-04-18 05:00:00-05:00,69.3,14.8,0.0
2025-04-18 06:00:00-05:00,69.2,14.7,0.0
2025-04-18 07:00:00-05:00,68.7,15.2,12.0
2025-04-18 08:00:00-05:00,69.2,15.0,76.0
2025-04-18 09:00:00-05:00,70.4,13.4,60.0
2025-04-18 10:00:00-05:00,71.7,11.3,316.0
2025-04-18 11:00:00-05:00,74.6,14.8,418.0
2025-04-18 12:00:00-05:00,78.8,16.2,345.0
2025-04-18 13:00:00-05:00,82.1,18.7,477.0
2025-04-18 14:00:00-05:00,83.6,18.1,420.0
2025-04-18 15:00:00-05:00,84.2,12.8,205.0
2025-04-18 16:00:00-05:00,85.1,13.6,213.0
2025-04-18 17:00:00-05:00,84.0,10.9,200.0
2025-04-18 18:00:00-05:00,82.5,13.3,101.0
2025-04-18 19:00:00-05:00,81.2,11.1,27.0
2025-04-18 20:00:00-05:00,80.1,11.4,0.0
2025-04-18 21:00:00-05:00,79.3,14.3,0.0
2025-04-18 22:00:00-05:00,79.3,17.2,0.0
2025-04-18 23:00:00-05:00,78.2,23.1,0.0
