timestamp,temperature,windspeed,solar_irradiance
2025-04-15 03:00:00-05:00,69.2,5.4,0.0
2025-04-15 04:00:00-05:00,67.5,5.0,0.0
2025-04-15 05:00:00-05:00,67.5,0.7,0.0
2025-04-15 06:00:00-05:00,67.6,4.5,0.0
2025-04-15 07:00:00-05:00,66.3,9.0,4.0
2025-04-15 08:00:00-05:00,68.0,7.0,40.0
2025-04-15 09:00:00-05:00,70.0,5.3,135.0
2025-04-15 10:00:00-05:00,73.4,4.8,434.0
2025-04-15 11:00:00-05:00,73.6,9.1,66.0
2025-04-15 12:00:00-05:00,73.7,7.4,221.0
2025-04-15 13:00:00-05:00,73.9,9.7,144.0
2025-04-15 14:00:00-05:00,73.9,7.2,104.0
2025-04-15 15:00:00-05:00,75.4,12.4,163.0
2025-04-15 16:00:00-05:00,75.6,5.1,108.0
2025-04-15 17:00:00-05:00,75.6,8.2,138.0
2025-04-15 18:00:00-05:00,77.3,10.9,199.0
2025-04-15 19:00:00-05:00,75.5,8.0,24.0
2025-04-15 20:00:00-05:00,73.5,5.8,0.0
2025-04-15 21:00:00-05:00,73.3,6.7,0.0
2025-04-15 22:00:00-05:00,71.5,9.4,0.0
2025-04-15 23:00:00-05:00,71.4,12.6,0.0
2025-04-16 00:00:00-05:00,71.4,9.6,0.0
2025-04-16 01:00:00-05:00,71.5,5.6,0.0
2025-04-16 02:00:00-05:00,69.7,5.0,0.0
2025-04-16 03:00:00-05:00,69.5,6.9,0.0
2025-04-16 04:00:00-05:00,67.7,5.9,0.0
2025-04-16 05:00:00-05:00,67.6,7.5,0.0
2025-04-16 06:00:00-05:00,67.6,8.0,0.0
2025-04-16 07:00:00-05:00,65.9,6.4,8.0
2025-04-16 08:00:00-05:00,68.6,8.5,32.0
2025-04-16 09:00:00-05:00,70.1,5.1,80.0
2025-04-16 10:00:00-05:00,73.6,11.3,498.0
2025-04-16 11:00:00-05:00,75.6,9.6,283.0
2025-04-16 12:00:00-05:00,77.3,15.2,826.0
2025-04-16 13:00:00-05:00,79.1,12.7,852.0
2025-04-16 14:00:00-05:00,79.3,17.6,907.0
2025-04-16 15:00:00-05:00,80.7,10.6,769.0
2025-04-16 16:00:00-05:00,80.7,13.1,541.0
2025-04-16 17:00:00-05:00,77.4,13.1,142.0
2025-04-16 18:00:00-05:00,77.3,15.9,262.0
2025-04-16 19:00:00-05:00,75.3,18.9,25.0
2025-04-16 20:00:00-05:00,73.5,16.1,0.0
2025-04-16 21:00:00-05:00,71.7,13.6,0.0
2025-04-16 22:00:00-05:00,70.1,12.2,0.0
2025-04-16 23:00:00-05:00,69.9,9.1,0.0
2025-04-17 00:00:00-05:00,68.3,13.1,0.0
2025-04-17 01:00:00-05:00,68.2,13.2,0.0
2025-04-17 02:00:00-05:00,68.1,18.3,0.0
2025-04-17 03:00:00-05:00,68.1,15.4,0.0
2025-04-17 04:00:00-05:00,68.1,14.1,0.0
2025-04-17 05:00:00-05:00,68.1,13.0,0.0
2025-04-17 06:00:00-05:00,68.0,12.9,0.0
2025-04-17 07:00:00-05:00,68.1,11.8,8.0
2025-04-17 08:00:00-05:00,68.4,12.1,39.0
2025-04-17 09:00:00-05:00,72.0,12.1,102.0
2025-04-17 10:00:00-05:00,75.5,19.7,147.0
2025-04-17 11:00:00-05:00,77.5,17.1,582.0
2025-04-17 12:00:00-05:00,77.7,16.2,480.0
2025-04-17 13:00:00-05:00,79.5,19.0,792.0
2025-04-17 14:00:00-05:00,80.9,23.2,828.0
2025-04-17 15:00:00-05:00,81.1,24.8,819.0
2025-04-17 16:00:00-05:00,81.0,22.3,304.0
2025-04-17 17:00:00-05:00,79.1,25.5,155.0
2025-04-17 18:00:00-05:00,77.4,26.6,74.0
2025-04-17 19:00:00-05:00,75.6,20.4,16.0
2025-04-17 20:00:00-05:00,75.3,13.8,0.0
2025-04-17 21:00:00-05:00,73.6,17.6,0.0
2025-04-17 22:00:00-05:00,71.9,14.4,0.0
2025-04-17 23:00:00-05:00,71.9,13.8,0.0
2025-04-18 00:00:00-05:00,71.9,17.8,0.0
2025-04-18 01:00:00-05:00,71.9,20.9,0.0
2025-04-18 02:00:00-05:00,71.9,20.0,0.0
2025-04-18 03:00:00-05:00,71.9,16.9,0.0
2025-04-18 04:00:00-05:00,71.9,18.5,0.0
2025-04-18 05:00:00-05:00,71.9,17.1,0.0
2025-04-18 06:00:00-05:00,71.9,16.0,0.0
2025-04-18 07:00:00-05:00,71.9,17.3,8.0
2025-04-18 08:00:00-05:00,73.5,9.3,64.0
2025-04-18 09:00:00-05:00,75.3,15.5,107.0
2025-04-18 10:00:00-05:00,77.4,19.1,538.0
2025-04-18 11:00:00-05:00,79.5,26.6,464.0
2025-04-18 12:00:00-05:00,81.2,16.5,830.0
2025-04-18 13:00:00-05:00,82.8,15.6,871.0
2025-04-18 14:00:00-05:00,83.0,18.2,951.0
2025-04-18 15:00:00-05:00,82.9,22.5,664.0
2025-04-18 16:00:00-05:00,82.8,23.8,202.0
2025-04-18 17:00:00-05:00,81.0,25.0,151.0
2025-04-18 18:00:00-05:00,79.3,15.4,205.0
2025-04-18 19:00:00-05:00,79.0,24.1,10.0
2025-04-18 20:00:00-05:00,77.3,19.4,0.0
2025-04-18 21:00:00-05:00,75.6,17.7,0.0
2025-04-18 22:00:00-05:00,75.6,14.9,0.0
2025-04-18 23:00:00-05:00,75.4,14.7,0.0
